P + 316 -2111774424 
F advpack.dll GetVersionFromFile 000067a5 
F advpack.dll GetVersionFromFileEx 000056ac 
F advpack.dll IsNTAdmin 0000b631 
F advpack.dll LaunchINFSection 0000ad4a 
F advpack.dll LaunchINFSectionEx 0000e6a9 
F advpack.dll NeedReboot 00007fb4 
F advpack.dll NeedRebootInit 00007f96 
F advpack.dll OpenINFEngine 0000bc58 
F advpack.dll RebootCheckOnInstall 0000c778 
F advpack.dll RegInstall 000049ce 
F advpack.dll RegRestoreAll 00010e24 
F advpack.dll RegSaveRestore 0001088b 
F advpack.dll RegSaveRestoreOnINF 0000dc2c 
F advpack.dll RegisterOCX 00007fdc 
F advpack.dll RunSetupCommand 0000b011 
F advpack.dll SetPerUserSecValues 0000c85f 
F advpack.dll TranslateInfString 0000a295 
F advpack.dll TranslateInfStringEx 0000bc0b 
F advpack.dll UserInstStubWrapper 0000cd8a 
F advpack.dll UserUnInstStubWrapper 0000e254 
M 884 09310000 "advpack.dll" 751c0000 00028000 8226c880 
F shfolder.dll SHGetFolderPathA 0000145d 
F shfolder.dll SHGetFolderPathW 0000139c 
M 884 09310000 "shfolder.dll" 76750000 00009000 8226c880 
M 884 09310000 "winspool.drv" 72f70000 00026000 8226c880 
F winhttp.dll DllCanUnloadNow 0003455d 
F winhttp.dll DllGetClassObject 000371b7 
F winhttp.dll DllRegisterServer 00007e19 
F winhttp.dll DllUnregisterServer 00007e45 
F winhttp.dll WinHttpAddRequestHeaders 000229c7 
F winhttp.dll WinHttpCheckPlatform 0000844e 
F winhttp.dll WinHttpCloseHandle 0000b1a6 
F winhttp.dll WinHttpConnect 00009863 
F winhttp.dll WinHttpCrackUrl 00008774 
F winhttp.dll WinHttpCreateUrl 00008c88 
F winhttp.dll WinHttpDetectAutoProxyConfigUrl 0000bfc6 
F winhttp.dll WinHttpGetDefaultProxyConfiguration 000084d4 
F winhttp.dll WinHttpGetIEProxyConfigForCurrentUser 0000866e 
F winhttp.dll WinHttpGetProxyForUrl 0000d253 
F winhttp.dll WinHttpOpen 000094fc 
F winhttp.dll WinHttpOpenRequest 00023096 
F winhttp.dll WinHttpQueryAuthSchemes 0000d519 
F winhttp.dll WinHttpQueryDataAvailable 0000b802 
F winhttp.dll WinHttpQueryHeaders 00023d7d 
F winhttp.dll WinHttpQueryOption 0000e9e7 
F winhttp.dll WinHttpReadData 0000b59d 
F winhttp.dll WinHttpReceiveResponse 00010181 
F winhttp.dll WinHttpSendRequest 0000fed3 
F winhttp.dll WinHttpSetCredentials 0000d9b8 
F winhttp.dll WinHttpSetDefaultProxyConfiguration 000085a6 
F winhttp.dll WinHttpSetOption 0000f76d 
F winhttp.dll WinHttpSetStatusCallback 0000996e 
F winhttp.dll WinHttpSetTimeouts 0000eea2 
F winhttp.dll WinHttpTimeFromSystemTime 00024717 
F winhttp.dll WinHttpTimeToSystemTime 00024899 
F winhttp.dll WinHttpWriteData 0000acdd 
M 884 09310000 "winhttp.dll" 4a410000 00058000 8226c880 
F cabinet.dll DeleteExtractedFiles 00002217 
F cabinet.dll DllGetVersion 00001af7 
F cabinet.dll Extract 00002111 
F cabinet.dll FCIAddFile 000074fe 
F cabinet.dll FCICreate 0000768b 
F cabinet.dll FCIDestroy 00007648 
F cabinet.dll FCIFlushCabinet 000075c8 
F cabinet.dll FCIFlushFolder 0000761e 
F cabinet.dll FDICopy 000034a6 
F cabinet.dll FDICreate 000012d6 
F cabinet.dll FDIDestroy 00002d0d 
F cabinet.dll FDIIsCabinet 000023b7 
F cabinet.dll FDITruncateCabinet 00002775 
F cabinet.dll GetDllVersion 00001adc 
M 884 09310000 "cabinet.dll" 750b0000 00014000 8226c880 
F mspatcha.dll ApplyPatchToFileA 00002fa7 
F mspatcha.dll ApplyPatchToFileByHandles 00002ce4 
F mspatcha.dll ApplyPatchToFileByHandlesEx 0000280f 
F mspatcha.dll ApplyPatchToFileExA 00002d07 
F mspatcha.dll ApplyPatchToFileExW 00002db3 
F mspatcha.dll ApplyPatchToFileW 00002fca 
F mspatcha.dll GetFilePatchSignatureA 00002e5f 
F mspatcha.dll GetFilePatchSignatureByHandle 00001ee8 
F mspatcha.dll GetFilePatchSignatureW 00002ebc 
F mspatcha.dll TestApplyPatchToFileA 00002fed 
F mspatcha.dll TestApplyPatchToFileByHandles 00002f85 
F mspatcha.dll TestApplyPatchToFileW 0000300f 
M 884 09310000 "mspatcha.dll" 602d0000 0000b000 8226c880 
M 884 09310000 "sfc.dll" 76b80000 00005000 8226c880 
M 884 09310000 "sfc_os.dll" 76c30000 00028000 8226c880 
M 884 09310000 "mswsock.dll" 719c0000 0003e000 8226c880 
M 884 09310000 "wshtcpip.dll" 71a00000 00008000 8226c880 
F browser.dll I_BrowserServerEnumForXactsrv 00003ff6 
F browser.dll ServiceMain 000054d1 
F browser.dll SvchostPushServiceGlobals 00007233 
M 884 09310000 "browser.dll" 76ba0000 00015000 8226c880 
F wscsvc.dll ServiceMain 00004a23 
F wscsvc.dll SvchostPushServiceGlobals 00004955 
M 884 09310000 "wscsvc.dll" 4c1a0000 00017000 8226c880 
F msi.dll DllCanUnloadNow 0004028a 
F msi.dll DllGetClassObject 000721e0 
F msi.dll DllGetVersion 00013d7a 
F msi.dll DllRegisterServer 0007543c 
F msi.dll DllUnregisterServer 000757b9 
F msi.dll Migrate10CachedPackagesA 00077fd3 
F msi.dll Migrate10CachedPackagesW 0007a3b3 
F msi.dll MsiAdvertiseProductA 0007ea1f 
F msi.dll MsiAdvertiseProductExA 0007eca7 
F msi.dll MsiAdvertiseProductExW 000790e9 
F msi.dll MsiAdvertiseProductW 00078e61 
F msi.dll MsiAdvertiseScriptA 000846f7 
F msi.dll MsiAdvertiseScriptW 00087ea1 
F msi.dll MsiApplyMultiplePatchesA 00092113 
F msi.dll MsiApplyMultiplePatchesW 0008eadf 
F msi.dll MsiApplyPatchA 0007f141 
F msi.dll MsiApplyPatchW 0007934b 
F msi.dll MsiCloseAllHandles 0009ab1b 
F msi.dll MsiCloseHandle 0009aa6d 
F msi.dll MsiCollectUserInfoA 0007e0e6 
F msi.dll MsiCollectUserInfoW 000789af 
F msi.dll MsiConfigureFeatureA 0007e206 
F msi.dll MsiConfigureFeatureFromDescriptorA 0008a2e2 
F msi.dll MsiConfigureFeatureFromDescriptorW 0008acad 
F msi.dll MsiConfigureFeatureW 00078af7 
F msi.dll MsiConfigureProductA 0008b706 
F msi.dll MsiConfigureProductExA 0008a5cf 
F msi.dll MsiConfigureProductExW 0008b081 
F msi.dll MsiConfigureProductW 0008b9bf 
F msi.dll MsiCreateAndVerifyInstallerDirectory 00077ed8 
F msi.dll MsiCreateRecord 0009bfd6 
F msi.dll MsiCreateTransformSummaryInfoA 0009fd95 
F msi.dll MsiCreateTransformSummaryInfoW 0009f1af 
F msi.dll MsiDatabaseApplyTransformA 0009f169 
F msi.dll MsiDatabaseApplyTransformW 0009beb7 
F msi.dll MsiDatabaseCommit 0009b96b 
F msi.dll MsiDatabaseExportA 0009f052 
F msi.dll MsiDatabaseExportW 0009bb77 
F msi.dll MsiDatabaseGenerateTransformA 0009f11d 
F msi.dll MsiDatabaseGenerateTransformW 0009bdab 
F msi.dll MsiDatabaseGetPrimaryKeysA 0009eebd 
F msi.dll MsiDatabaseGetPrimaryKeysW 0009b6d7 
F msi.dll MsiDatabaseImportA 0009efee 
F msi.dll MsiDatabaseImportW 0009ba9e 
F msi.dll MsiDatabaseIsTablePersistentA 0009ef03 
F msi.dll MsiDatabaseIsTablePersistentW 0009b80d 
F msi.dll MsiDatabaseMergeA 0009f0d7 
F msi.dll MsiDatabaseMergeW 0009bc73 
F msi.dll MsiDatabaseOpenViewA 0009ee77 
F msi.dll MsiDatabaseOpenViewW 0009ad04 
F msi.dll MsiDecomposeDescriptorA 0008a583 
F msi.dll MsiDecomposeDescriptorW 0000db6d 
F msi.dll MsiDeleteUserDataA 00086c34 
F msi.dll MsiDeleteUserDataW 000821a1 
F msi.dll MsiDetermineApplicablePatchesA 00097fe5 
F msi.dll MsiDetermineApplicablePatchesW 00097241 
F msi.dll MsiDeterminePatchSequenceA 000984e1 
F msi.dll MsiDeterminePatchSequenceW 000976c9 
F msi.dll MsiDoActionA 000a08ed 
F msi.dll MsiDoActionW 0009d9a1 
F msi.dll MsiEnableLogA 0007dd73 
F msi.dll MsiEnableLogW 0007c0a6 
F msi.dll MsiEnableUIPreview 0009e5f5 
F msi.dll MsiEnumClientsA 000182dc 
F msi.dll MsiEnumClientsW 00013aa1 
F msi.dll MsiEnumComponentCostsA 000a1fcf 
F msi.dll MsiEnumComponentCostsW 000a2219 
F msi.dll MsiEnumComponentQualifiersA 00089afb 
F msi.dll MsiEnumComponentQualifiersW 0000ef61 
F msi.dll MsiEnumComponentsA 00084eb4 
F msi.dll MsiEnumComponentsW 00088592 
F msi.dll MsiEnumFeaturesA 0008659b 
F msi.dll MsiEnumFeaturesW 00088d49 
F msi.dll MsiEnumPatchesA 00094723 
F msi.dll MsiEnumPatchesExA 000910e7 
F msi.dll MsiEnumPatchesExW 0008e8ea 
F msi.dll MsiEnumPatchesW 00090ee5 
F msi.dll MsiEnumProductsA 00084e73 
F msi.dll MsiEnumProductsExA 00092308 
F msi.dll MsiEnumProductsExW 0008eca5 
F msi.dll MsiEnumProductsW 00088551 
F msi.dll MsiEnumRelatedProductsA 00084e0a 
F msi.dll MsiEnumRelatedProductsW 000884e8 
F msi.dll MsiEvaluateConditionA 000a0976 
F msi.dll MsiEvaluateConditionW 0009dd01 
F msi.dll MsiExtractPatchXMLDataA 000917d3 
F msi.dll MsiExtractPatchXMLDataW 0009145a 
F msi.dll MsiFormatRecordA 0009d6be 
F msi.dll MsiFormatRecordW 0009d841 
F msi.dll MsiGetActiveDatabase 0009d2b9 
F msi.dll MsiGetComponentPathA 0008b45f 
F msi.dll MsiGetComponentPathW 00017175 
F msi.dll MsiGetComponentStateA 000a1983 
F msi.dll MsiGetComponentStateW 000a1a7c 
F msi.dll MsiGetDatabaseState 0009ba59 
F msi.dll MsiGetFeatureCostA 000a1d85 
F msi.dll MsiGetFeatureCostW 000a1e8a 
F msi.dll MsiGetFeatureInfoA 0007cf49 
F msi.dll MsiGetFeatureInfoW 0007b731 
F msi.dll MsiGetFeatureStateA 000a1475 
F msi.dll MsiGetFeatureStateW 000a1563 
F msi.dll MsiGetFeatureUsageA 00086a19 
F msi.dll MsiGetFeatureUsageW 000893c5 
F msi.dll MsiGetFeatureValidStatesA 000a2445 
F msi.dll MsiGetFeatureValidStatesW 0009e31e 
F msi.dll MsiGetFileHashA 0007d839 
F msi.dll MsiGetFileHashW 00078164 
F msi.dll MsiGetFileSignatureInformationA 0007d8b1 
F msi.dll MsiGetFileSignatureInformationW 000781b8 
F msi.dll MsiGetFileVersionA 0007d587 
F msi.dll MsiGetFileVersionW 0007ff7f 
F msi.dll MsiGetLanguage 0009d3a7 
F msi.dll MsiGetLastErrorRecord 0009c9e9 
F msi.dll MsiGetMode 0009d41f 
F msi.dll MsiGetPatchInfoA 00086b39 
F msi.dll MsiGetPatchInfoExA 00091df9 
F msi.dll MsiGetPatchInfoExW 0009198b 
F msi.dll MsiGetPatchInfoW 000894e5 
F msi.dll MsiGetProductCodeA 0001812e 
F msi.dll MsiGetProductCodeFromPackageCodeA 0008b2bf 
F msi.dll MsiGetProductCodeFromPackageCodeW 0008b803 
F msi.dll MsiGetProductCodeW 000187fb 
F msi.dll MsiGetProductInfoA 00089fe1 
F msi.dll MsiGetProductInfoExA 000925be 
F msi.dll MsiGetProductInfoExW 0008ee77 
F msi.dll MsiGetProductInfoFromScriptA 0007ca82 
F msi.dll MsiGetProductInfoFromScriptW 0007b247 
F msi.dll MsiGetProductInfoW 00015966 
F msi.dll MsiGetProductPropertyA 0007cdd0 
F msi.dll MsiGetProductPropertyW 0007b5db 
F msi.dll MsiGetPropertyA 000a012d 
F msi.dll MsiGetPropertyW 000a035b 
F msi.dll MsiGetShortcutTargetA 0007ef10 
F msi.dll MsiGetShortcutTargetW 00080851 
F msi.dll MsiGetSourcePathA 000a09b9 
F msi.dll MsiGetSourcePathW 000a0bb9 
F msi.dll MsiGetSummaryInformationA 000a007d 
F msi.dll MsiGetSummaryInformationW 0009eba8 
F msi.dll MsiGetTargetPathA 000a0d9d 
F msi.dll MsiGetTargetPathW 000a0f9d 
F msi.dll MsiGetUserInfoA 00084ef6 
F msi.dll MsiGetUserInfoW 0000e7a1 
F msi.dll MsiInstallMissingComponentA 0007e75b 
F msi.dll MsiInstallMissingComponentW 00080599 
F msi.dll MsiInstallMissingFileA 0007e50f 
F msi.dll MsiInstallMissingFileW 00080355 
F msi.dll MsiInstallProductA 0007de2a 
F msi.dll MsiInstallProductW 0007868f 
F msi.dll MsiInvalidateFeatureCache 00077ed0 
F msi.dll MsiIsProductElevatedA 0007f6de 
F msi.dll MsiIsProductElevatedW 00079957 
F msi.dll MsiLoadStringA 00077daf 
F msi.dll MsiLoadStringW 000783c9 
F msi.dll MsiLocateComponentA 0008b686 
F msi.dll MsiLocateComponentW 0008b93f 
F msi.dll MsiMessageBoxA 0007dc14 
F msi.dll MsiMessageBoxExA 0007da3f 
F msi.dll MsiMessageBoxExW 000784d2 
F msi.dll MsiMessageBoxW 00078668 
F msi.dll MsiNotifySidChangeA 00086bd3 
F msi.dll MsiNotifySidChangeW 00080e03 
F msi.dll MsiOpenDatabaseA 0009ef51 
F msi.dll MsiOpenDatabaseW 0009e85c 
F msi.dll MsiOpenPackageA 000848a2 
F msi.dll MsiOpenPackageExA 0007d114 
F msi.dll MsiOpenPackageExW 0007b8db 
F msi.dll MsiOpenPackageW 0007fe4f 
F msi.dll MsiOpenProductA 0008497a 
F msi.dll MsiOpenProductW 000880a7 
F msi.dll MsiPreviewBillboardA 000a24ce 
F msi.dll MsiPreviewBillboardW 0009e71b 
F msi.dll MsiPreviewDialogA 000a248b 
F msi.dll MsiPreviewDialogW 0009e6c7 
F msi.dll MsiProcessAdvertiseScriptA 00089773 
F msi.dll MsiProcessAdvertiseScriptW 0008a7be 
F msi.dll MsiProcessMessage 0009db91 
F msi.dll MsiProvideAssemblyA 0008d927 
F msi.dll MsiProvideAssemblyW 0008e235 
F msi.dll MsiProvideComponentA 0008cb83 
F msi.dll MsiProvideComponentFromDescriptorA 0008d25e 
F msi.dll MsiProvideComponentFromDescriptorW 0000e454 
F msi.dll MsiProvideComponentW 0008de14 
F msi.dll MsiProvideQualifiedComponentA 0008e7a0 
F msi.dll MsiProvideQualifiedComponentExA 0008d4dd 
F msi.dll MsiProvideQualifiedComponentExW 0000e949 
F msi.dll MsiProvideQualifiedComponentW 0008e7e4 
F msi.dll MsiQueryComponentStateA 00092854 
F msi.dll MsiQueryComponentStateW 0008f059 
F msi.dll MsiQueryFeatureStateA 0008c254 
F msi.dll MsiQueryFeatureStateExA 00092a64 
F msi.dll MsiQueryFeatureStateExW 0008f251 
F msi.dll MsiQueryFeatureStateFromDescriptorA 0008d3aa 
F msi.dll MsiQueryFeatureStateFromDescriptorW 0008e07d 
F msi.dll MsiQueryFeatureStateW 0000d669 
F msi.dll MsiQueryProductStateA 0008a09c 
F msi.dll MsiQueryProductStateW 00015c6b 
F msi.dll MsiRecordClearData 0009c9a7 
F msi.dll MsiRecordDataSize 0009c1ad 
F msi.dll MsiRecordGetFieldCount 0009c59b 
F msi.dll MsiRecordGetInteger 0009c375 
F msi.dll MsiRecordGetStringA 0009e9f5 
F msi.dll MsiRecordGetStringW 0009c3d6 
F msi.dll MsiRecordIsNull 0009c0bd 
F msi.dll MsiRecordReadStream 0009c7e5 
F msi.dll MsiRecordSetInteger 0009c282 
F msi.dll MsiRecordSetStreamA 000a0037 
F msi.dll MsiRecordSetStreamW 0009c683 
F msi.dll MsiRecordSetStringA 0009fde1 
F msi.dll MsiRecordSetStringW 0009feee 
F msi.dll MsiReinstallFeatureA 0007e386 
F msi.dll MsiReinstallFeatureFromDescriptorA 0008a432 
F msi.dll MsiReinstallFeatureFromDescriptorW 0008ae97 
F msi.dll MsiReinstallFeatureW 00078ca7 
F msi.dll MsiReinstallProductA 0007dfaa 
F msi.dll MsiReinstallProductW 0007882f 
F msi.dll MsiRemovePatchesA 00094547 
F msi.dll MsiRemovePatchesW 00090b58 
F msi.dll MsiSequenceA 000a0930 
F msi.dll MsiSequenceW 0009da8b 
F msi.dll MsiSetComponentStateA 000a1b8b 
F msi.dll MsiSetComponentStateW 000a1c75 
F msi.dll MsiSetExternalUIA 00077ead 
F msi.dll MsiSetExternalUIW 000158e5 
F msi.dll MsiSetFeatureAttributesA 000a17a1 
F msi.dll MsiSetFeatureAttributesW 000a1854 
F msi.dll MsiSetFeatureStateA 000a15cd 
F msi.dll MsiSetFeatureStateW 000a167f 
F msi.dll MsiSetInstallLevel 0009e063 
F msi.dll MsiSetInternalUI 0000e4b5 
F msi.dll MsiSetMode 0009d53b 
F msi.dll MsiSetPropertyA 000a0579 
F msi.dll MsiSetPropertyW 000a0739 
F msi.dll MsiSetTargetPathA 000a117d 
F msi.dll MsiSetTargetPathW 000a1301 
F msi.dll MsiSourceListAddMediaDiskA 00093076 
F msi.dll MsiSourceListAddMediaDiskW 0008f6dd 
F msi.dll MsiSourceListAddSourceA 0007f413 
F msi.dll MsiSourceListAddSourceExA 00092e5b 
F msi.dll MsiSourceListAddSourceExW 0008f4bb 
F msi.dll MsiSourceListAddSourceW 00079651 
F msi.dll MsiSourceListClearAllA 0007f2d0 
F msi.dll MsiSourceListClearAllExA 0009379d 
F msi.dll MsiSourceListClearAllExW 0008fd93 
F msi.dll MsiSourceListClearAllW 000794f3 
F msi.dll MsiSourceListClearMediaDiskA 0009357a 
F msi.dll MsiSourceListClearMediaDiskW 0008fb85 
F msi.dll MsiSourceListClearSourceA 0009336e 
F msi.dll MsiSourceListClearSourceW 0008f97d 
F msi.dll MsiSourceListEnumMediaDisksA 00094246 
F msi.dll MsiSourceListEnumMediaDisksW 0009072d 
F msi.dll MsiSourceListEnumSourcesA 00093b63 
F msi.dll MsiSourceListEnumSourcesW 0009017f 
F msi.dll MsiSourceListForceResolutionA 0007f590 
F msi.dll MsiSourceListForceResolutionExA 0009398c 
F msi.dll MsiSourceListForceResolutionExW 0008ff81 
F msi.dll MsiSourceListForceResolutionW 000797db 
F msi.dll MsiSourceListGetInfoA 00093d40 
F msi.dll MsiSourceListGetInfoW 0009032d 
F msi.dll MsiSourceListSetInfoA 00093ff8 
F msi.dll MsiSourceListSetInfoW 00090523 
F msi.dll MsiSummaryInfoGetPropertyA 0009ce42 
F msi.dll MsiSummaryInfoGetPropertyCount 0009cabd 
F msi.dll MsiSummaryInfoGetPropertyW 0009d00f 
F msi.dll MsiSummaryInfoPersist 0009d1d1 
F msi.dll MsiSummaryInfoSetPropertyA 000a00c6 
F msi.dll MsiSummaryInfoSetPropertyW 0009cbab 
F msi.dll MsiUseFeatureA 0008e783 
F msi.dll MsiUseFeatureExA 0008cdaf 
F msi.dll MsiUseFeatureExW 00013e38 
F msi.dll MsiUseFeatureW 0008e7c7 
F msi.dll MsiVerifyDiskSpace 0009e48b 
F msi.dll MsiVerifyPackageA 0007c9b3 
F msi.dll MsiVerifyPackageW 0007b1b5 
F msi.dll MsiViewClose 0009b5ef 
F msi.dll MsiViewExecute 0009b15f 
F msi.dll MsiViewFetch 0009b27b 
F msi.dll MsiViewGetColumnInfo 0009b4c9 
F msi.dll MsiViewGetErrorA 0009ae41 
F msi.dll MsiViewGetErrorW 0009b022 
F msi.dll MsiViewModify 0009b37f 
M 884 09310000 "msi.dll" 7c9c0000 002b2000 8226c880 
F wbemprox.dll DllCanUnloadNow 000011e2 
F wbemprox.dll DllGetClassObject 000020e2 
F wbemprox.dll DllRegisterServer 0000324d 
F wbemprox.dll DllUnregisterServer 0000331b 
M 884 09310000 "wbemprox.dll" 74e50000 00008000 8226c880 
F wbemcomn.dll ??0C9XAce@@QAE@ABV0@@Z 0001caa5 
F wbemcomn.dll ??0C9XAce@@QAE@KKKPAG@Z 00029926 
F wbemcomn.dll ??0C9XAce@@QAE@XZ 0001ca4f 
F wbemcomn.dll ??0CAbstractQl1Parser@@QAE@ABV0@@Z 000268fb 
F wbemcomn.dll ??0CAbstractQl1Parser@@QAE@PAVCGenLexSource@@@Z 0001371d 
F wbemcomn.dll ??0CArena@@QAE@ABV0@@Z 0001be37 
F wbemcomn.dll ??0CArena@@QAE@XZ 0001be29 
F wbemcomn.dll ??0CBaseAce@@QAE@ABV0@@Z 0001c978 
F wbemcomn.dll ??0CBaseAce@@QAE@XZ 0001c95e 
F wbemcomn.dll ??0CBasicUnloadInstruction@@IAE@XZ 0002bab3 
F wbemcomn.dll ??0CBasicUnloadInstruction@@QAE@ABV0@@Z 0002bb5e 
F wbemcomn.dll ??0CBasicUnloadInstruction@@QAE@VCWbemInterval@@@Z 0000edcd 
F wbemcomn.dll ??0CBuffer@@QAE@ABV0@@Z 0001c45e 
F wbemcomn.dll ??0CBuffer@@QAE@PAEKH@Z 0000f739 
F wbemcomn.dll ??0CCheckedInCritSec@@QAE@PAVCCritSec@@@Z 0001c8f0 
F wbemcomn.dll ??0CContainerControl@@QAE@ABV0@@Z 0002063b 
F wbemcomn.dll ??0CContainerControl@@QAE@PAUIUnknown@@@Z 000205f2 
F wbemcomn.dll ??0CCritSec@@QAE@XZ 00010ecf 
F wbemcomn.dll ??0CDMTFParser@@QAE@PBG@Z 0001dba7 
F wbemcomn.dll ??0CDatePart@@QAE@XZ 00023e61 
F wbemcomn.dll ??0CDateTimeParser@@IAE@XZ 0001dcdb 
F wbemcomn.dll ??0CDateTimeParser@@QAE@PBG@Z 00020438 
F wbemcomn.dll ??0CEnterWbemCriticalSection@@QAE@PAVCWbemCriticalSection@@K@Z 0001c707 
F wbemcomn.dll ??0CEventLog@@QAE@ABV0@@Z 00020f9f 
F wbemcomn.dll ??0CEventLog@@QAE@PBG0K@Z 0000fad9 
F wbemcomn.dll ??0CEventLogRecord@@QAE@AAV0@@Z 00020f0a 
F wbemcomn.dll ??0CEventLogRecord@@QAE@GKVCInsertionString@@000000000@Z 000214ab 
F wbemcomn.dll ??0CExecQueue@@QAE@AAV0@@Z 00021e4b 
F wbemcomn.dll ??0CExecQueue@@QAE@XZ 00010227 
F wbemcomn.dll ??0CExecRequest@@QAE@ABV0@@Z 00021d9e 
F wbemcomn.dll ??0CExecRequest@@QAE@XZ 0000f129 
F wbemcomn.dll ??0CFlexArray@@QAE@AAV0@@Z 00022a7d 
F wbemcomn.dll ??0CFlexArray@@QAE@HH@Z 0000df3b 
F wbemcomn.dll ??0CFlexQueue@@QAE@H@Z 00010f26 
F wbemcomn.dll ??0CHaltable@@QAE@ABV0@@Z 0001c61d 
F wbemcomn.dll ??0CHaltable@@QAE@XZ 0000ff89 
F wbemcomn.dll ??0CHex@@QAE@J@Z 0001ce39 
F wbemcomn.dll ??0CIdentityTest@@QAE@ABV0@@Z 000277b0 
F wbemcomn.dll ??0CIdentityTest@@QAE@PAVCTimerInstruction@@@Z 0000e767 
F wbemcomn.dll ??0CInCritSec@@QAE@PAU_RTL_CRITICAL_SECTION@@@Z 0000dd30 
F wbemcomn.dll ??0CInsertionString@@QAE@ABV0@@Z 00020e54 
F wbemcomn.dll ??0CInsertionString@@QAE@J@Z 000213a4 
F wbemcomn.dll ??0CInsertionString@@QAE@PBD@Z 00020dee 
F wbemcomn.dll ??0CInsertionString@@QAE@PBG@Z 00020db5 
F wbemcomn.dll ??0CInsertionString@@QAE@VCHex@@@Z 00021421 
F wbemcomn.dll ??0CInsertionString@@QAE@XZ 00020d7e 
F wbemcomn.dll ??0CInstructionQueue@@QAE@XZ 000103f4 
F wbemcomn.dll ??0CInstructionTest@@QAE@ABV0@@Z 0002778d 
F wbemcomn.dll ??0CInstructionTest@@QAE@XZ 0002777f 
F wbemcomn.dll ??0CLifeControl@@QAE@ABV0@@Z 000205e2 
F wbemcomn.dll ??0CLifeControl@@QAE@XZ 000205d4 
F wbemcomn.dll ??0CLike@@QAE@ABV0@@Z 000241bb 
F wbemcomn.dll ??0CLike@@QAE@PBGG@Z 0002413a 
F wbemcomn.dll ??0CLike@@QAE@XZ 00023e61 
F wbemcomn.dll ??0CLimitControl@@QAE@ABV0@@Z 0002becd 
F wbemcomn.dll ??0CLimitControl@@QAE@XZ 0002c29c 
F wbemcomn.dll ??0CMRCICompression@@QAE@XZ 00020669 
F wbemcomn.dll ??0CMRCIControl@@QAE@XZ 00023e61 
F wbemcomn.dll ??0CMinMaxLimitControl@@QAE@ABV0@@Z 0002bfdf 
F wbemcomn.dll ??0CMinMaxLimitControl@@QAE@HPBG@Z 00010614 
F wbemcomn.dll ??0CNtAce@@QAE@ABV0@@Z 000295d4 
F wbemcomn.dll ??0CNtAce@@QAE@KKKAAVCNtSid@@@Z 00017683 
F wbemcomn.dll ??0CNtAce@@QAE@KKKPAG0@Z 00029cc6 
F wbemcomn.dll ??0CNtAce@@QAE@PAU_ACCESS_ALLOWED_ACE@@@Z 0001050b 
F wbemcomn.dll ??0CNtAce@@QAE@XZ 0001c9e4 
F wbemcomn.dll ??0CNtAcl@@QAE@ABV0@@Z 00029678 
F wbemcomn.dll ??0CNtAcl@@QAE@K@Z 00017246 
F wbemcomn.dll ??0CNtAcl@@QAE@PAU_ACL@@@Z 00029734 
F wbemcomn.dll ??0CNtSecurityDescriptor@@QAE@AAV0@@Z 0002a08e 
F wbemcomn.dll ??0CNtSecurityDescriptor@@QAE@PAXH@Z 000174ce 
F wbemcomn.dll ??0CNtSecurityDescriptor@@QAE@XZ 0001729d 
F wbemcomn.dll ??0CNtSid@@QAE@ABV0@@Z 00014f42 
F wbemcomn.dll ??0CNtSid@@QAE@PAG0@Z 00029b35 
F wbemcomn.dll ??0CNtSid@@QAE@PAX@Z 000121fd 
F wbemcomn.dll ??0CNtSid@@QAE@W4SidType@0@@Z 00017582 
F wbemcomn.dll ??0CNtSid@@QAE@XZ 0001c939 
F wbemcomn.dll ??0CPropertyName@@QAE@ABV0@@Z 0000f78e 
F wbemcomn.dll ??0CPropertyName@@QAE@XZ 00012b1e 
F wbemcomn.dll ??0CQl1ParseSink@@QAE@ABV0@@Z 00025830 
F wbemcomn.dll ??0CQl1ParseSink@@QAE@XZ 00025822 
F wbemcomn.dll ??0CRegistryMinMaxLimitControl@@QAE@ABV0@@Z 0002c17e 
F wbemcomn.dll ??0CRegistryMinMaxLimitControl@@QAE@HPBG0000@Z 0001059c 
F wbemcomn.dll ??0CSafeArray@@QAE@AAV0@@Z 0002737e 
F wbemcomn.dll ??0CSafeArray@@QAE@HHHH@Z 0001128f 
F wbemcomn.dll ??0CSafeArray@@QAE@PAUtagSAFEARRAY@@HHH@Z 00016d50 
F wbemcomn.dll ??0CTimerGenerator@@QAE@ABV0@@Z 00027a72 
F wbemcomn.dll ??0CTimerGenerator@@QAE@XZ 000103a0 
F wbemcomn.dll ??0CTimerInstruction@@QAE@ABV0@@Z 0002771d 
F wbemcomn.dll ??0CTimerInstruction@@QAE@XZ 00027703 
F wbemcomn.dll ??0CUnk@@QAE@ABV0@@Z 0002117d 
F wbemcomn.dll ??0CUnk@@QAE@PAVCLifeControl@@PAUIUnknown@@@Z 00014a6b 
F wbemcomn.dll ??0CUnkInternal@@QAE@ABV0@@Z 000206df 
F wbemcomn.dll ??0CUnkInternal@@QAE@PAVCLifeControl@@@Z 000166b1 
F wbemcomn.dll ??0CUnloadInstruction@@QAE@ABV0@@Z 0002bc49 
F wbemcomn.dll ??0CUnloadInstruction@@QAE@PBGPAUIWbemContext@@@Z 0002bccc 
F wbemcomn.dll ??0CVar@@QAE@ABV0@@Z 00027b9e 
F wbemcomn.dll ??0CVar@@QAE@D@Z 000211cd 
