P + 316 -2111774424 
F ntoskrnl.exe FsRtlDeleteTunnelCache 001399e2 
F ntoskrnl.exe FsRtlDeregisterUncProvider 0013aee9 
F ntoskrnl.exe FsRtlDissectDbcs 0013af7e 
F ntoskrnl.exe FsRtlDissectName 000a1bc1 
F ntoskrnl.exe FsRtlDoesDbcsContainWildCards 0013b027 
F ntoskrnl.exe FsRtlDoesNameContainWildCards 0009b12b 
F ntoskrnl.exe FsRtlFastCheckLockForRead 00027406 
F ntoskrnl.exe FsRtlFastCheckLockForWrite 0002757e 
F ntoskrnl.exe FsRtlFastUnlockAll 0001e46a 
F ntoskrnl.exe FsRtlFastUnlockAllByKey 0005547b 
F ntoskrnl.exe FsRtlFastUnlockSingle 00026d53 
F ntoskrnl.exe FsRtlFindInTunnelCache 000b899a 
F ntoskrnl.exe FsRtlFreeFileLock 000229e3 
F ntoskrnl.exe FsRtlGetFileSize 0009cf7d 
F ntoskrnl.exe FsRtlGetNextFileLock 000309e3 
F ntoskrnl.exe FsRtlGetNextLargeMcbEntry 0001a44b 
F ntoskrnl.exe FsRtlGetNextMcbEntry 00054d34 
F ntoskrnl.exe FsRtlIncrementCcFastReadNoWait 00054b48 
F ntoskrnl.exe FsRtlIncrementCcFastReadNotPossible 0013a195 
F ntoskrnl.exe FsRtlIncrementCcFastReadResourceMiss 00054b59 
F ntoskrnl.exe FsRtlIncrementCcFastReadWait 0009acf1 
F ntoskrnl.exe FsRtlInitializeFileLock 00015c8a 
F ntoskrnl.exe FsRtlInitializeLargeMcb 0002130c 
F ntoskrnl.exe FsRtlInitializeMcb 0013ac1b 
F ntoskrnl.exe FsRtlInitializeOplock 000a1c10 
F ntoskrnl.exe FsRtlInitializeTunnelCache 000e82b3 
F ntoskrnl.exe FsRtlInsertPerFileObjectContext 00055e84 
F ntoskrnl.exe FsRtlInsertPerStreamContext 00027ae2 
F ntoskrnl.exe FsRtlIsDbcsInExpression 0013b09b 
F ntoskrnl.exe FsRtlIsFatDbcsLegal 000b9038 
F ntoskrnl.exe FsRtlIsHpfsDbcsLegal 0013b4f9 
F ntoskrnl.exe FsRtlIsNameInExpression 0009de13 
F ntoskrnl.exe FsRtlIsNtstatusExpected 000554ae 
F ntoskrnl.exe FsRtlIsPagingFile 00055e65 
F ntoskrnl.exe FsRtlIsTotalDeviceFailure 0003000d 
F ntoskrnl.exe FsRtlLegalAnsiCharacterArray 000006d4 
F ntoskrnl.exe FsRtlLookupLargeMcbEntry 000175e7 
F ntoskrnl.exe FsRtlLookupLastLargeMcbEntry 00020a83 
F ntoskrnl.exe FsRtlLookupLastLargeMcbEntryAndIndex 00054beb 
F ntoskrnl.exe FsRtlLookupLastMcbEntry 00054cd9 
F ntoskrnl.exe FsRtlLookupMcbEntry 00054fde 
F ntoskrnl.exe FsRtlLookupPerFileObjectContext 00055d28 
F ntoskrnl.exe FsRtlLookupPerStreamContextInternal 0001f102 
F ntoskrnl.exe FsRtlMdlRead 00139c33 
F ntoskrnl.exe FsRtlMdlReadComplete 00054b6a 
F ntoskrnl.exe FsRtlMdlReadCompleteDev 00054b18 
F ntoskrnl.exe FsRtlMdlReadDev 00139a3f 
F ntoskrnl.exe FsRtlMdlWriteComplete 0013ab97 
F ntoskrnl.exe FsRtlMdlWriteCompleteDev 0013a143 
F ntoskrnl.exe FsRtlNormalizeNtstatus 000555c4 
F ntoskrnl.exe FsRtlNotifyChangeDirectory 0013b67b 
F ntoskrnl.exe FsRtlNotifyCleanup 000b96aa 
F ntoskrnl.exe FsRtlNotifyFilterChangeDirectory 000abe23 
F ntoskrnl.exe FsRtlNotifyFilterReportChange 000a36a7 
F ntoskrnl.exe FsRtlNotifyFullChangeDirectory 0013b6b3 
F ntoskrnl.exe FsRtlNotifyFullReportChange 0013b72b 
F ntoskrnl.exe FsRtlNotifyInitializeSync 00107f77 
F ntoskrnl.exe FsRtlNotifyReportChange 0013b6ef 
F ntoskrnl.exe FsRtlNotifyUninitializeSync 00107e64 
F ntoskrnl.exe FsRtlNotifyVolumeEvent 000cabc9 
F ntoskrnl.exe FsRtlNumberOfRunsInLargeMcb 00020b3e 
F ntoskrnl.exe FsRtlNumberOfRunsInMcb 00054d1f 
F ntoskrnl.exe FsRtlOplockFsctrl 000cc594 
F ntoskrnl.exe FsRtlOplockIsFastIoPossible 00093a2a 
F ntoskrnl.exe FsRtlPostPagingFileStackOverflow 00056067 
